sequence,filename,quality,codec,model,true_class,original_pred,compressed_pred,original_confidence,compressed_confidence
207,Forest/Forest_1679.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988827109336852,0.9757031798362732
208,Forest/Forest_62.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.6424176096916199,0.8808534741401672
209,Forest/Forest_2492.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9822452068328856,0.9999982118606568
210,Forest/Forest_1853.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999997854232788,0.9986498951911926
211,Forest/Forest_2701.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997883439064026,1.0
212,Forest/Forest_2570.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9990653395652772,0.9996616840362548
213,Forest/Forest_362.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998983144760132,0.9340694546699524
214,Forest/Forest_2218.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999984622001648,0.9959866404533386
215,Forest/Forest_1589.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9955319166183472,0.9996700286865234
216,Forest/Forest_332.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9968236684799194,0.9999948740005492
217,Forest/Forest_1641.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9984754920005798,0.9985219836235046
218,Forest/Forest_2900.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9799737930297852,0.97773414850235
219,Forest/Forest_1899.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999561309814452,1.0
220,Forest/Forest_1604.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999972939491272,0.9999970197677612
221,Forest/Forest_847.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,River,0.9867953062057496,0.4246193766593933
222,Forest/Forest_688.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9989323019981384,0.9938323497772216
223,Forest/Forest_805.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9882688522338868,0.9887427091598512
224,Forest/Forest_1081.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999523162841796,0.9583495259284972
225,Forest/Forest_1422.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999467134475708,0.999998927116394
226,Forest/Forest_1163.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999984860420227,0.9972572922706604
227,Forest/Forest_2104.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99999737739563,0.999777853488922
228,Forest/Forest_1246.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.998217761516571,0.9999628067016602
229,Forest/Forest_2667.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9995492100715636,0.9997500777244568
230,Forest/Forest_2613.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9996904134750366,0.5839113593101501
231,Forest/Forest_1358.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994975328445436,0.9999998807907104
232,Forest/Forest_2754.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9968960285186768,0.9999997615814208
233,Forest/Forest_807.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999880790710448,0.9985081553459167
234,Forest/Forest_278.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998518228530884,0.9999775886535645
235,Forest/Forest_944.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999748468399048,0.9999998807907104
236,Forest/Forest_1761.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999974966049194,0.9843375086784364
237,Forest/Forest_2678.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9823060631752014,0.9995243549346924
238,Forest/Forest_2263.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,HerbaceousVegetation,0.9998137354850768,0.8710700869560242
239,Forest/Forest_2148.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999970197677612,0.9999980926513672
240,Forest/Forest_2282.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998719692230223,1.0
241,Forest/Forest_1520.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9993265867233276,0.9571701884269714
242,Forest/Forest_1426.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999997615814208,0.9995943903923036
243,Forest/Forest_990.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9967026114463806,0.989271879196167
244,Forest/Forest_2088.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.7687857747077942,0.999997615814209
245,Forest/Forest_1384.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998812675476074,0.9999663829803468
246,Forest/Forest_2779.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.989824116230011,0.999975323677063
247,Forest/Forest_1089.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999641180038452,0.9999990463256836
248,Forest/Forest_227.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999511241912842,1.0
249,Forest/Forest_1554.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988271594047546,0.999494194984436
250,Forest/Forest_2843.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999878406524658,1.0
251,Forest/Forest_468.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998278617858888,0.999970555305481
252,Forest/Forest_803.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999698400497437,1.0
253,Forest/Forest_2705.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9734233617782592,0.9999833106994628
254,Forest/Forest_2440.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.998613715171814,0.9093421697616576
255,Forest/Forest_2378.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998495578765868,0.9999769926071168
256,Forest/Forest_2641.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.998742401599884,0.9985294342041016
257,Forest/Forest_1813.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9990386962890624,0.9985172152519226
258,Forest/Forest_419.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9999865293502808,0.997718870639801
259,Forest/Forest_438.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999975085258484,1.0
260,Forest/Forest_355.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998123049736024,0.9999998807907104
261,Forest/Forest_2910.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999678134918212,0.8733338117599487
262,Forest/Forest_2881.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999626398086548,0.9999905824661256
263,Forest/Forest_1817.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.998940408229828,0.998421549797058
264,Forest/Forest_1952.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999464750289916,0.9999996423721312
265,Forest/Forest_1361.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9995678067207336,0.9994279742240906
266,Forest/Forest_1037.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998914003372192,0.9999876022338868
267,Forest/Forest_1389.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,HerbaceousVegetation,0.986906349658966,0.6903605461120605
268,Forest/Forest_909.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9977298378944396,0.9999938011169434
269,Forest/Forest_2220.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999921321868896,0.9999431371688844
270,Forest/Forest_2471.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9982774257659912,0.9999877214431764
271,Forest/Forest_683.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9983637928962708,0.9994921684265136
272,Forest/Forest_796.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997038245201112,0.9994102716445924
273,Forest/Forest_677.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9990444779396056,0.9999998807907104
274,Forest/Forest_374.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9980146884918212,0.9999548196792604
275,Forest/Forest_1161.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997292160987854,1.0
276,Forest/Forest_557.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998880624771118,0.9999954700469972
277,Forest/Forest_684.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999916553497314,0.9999961853027344
278,Forest/Forest_1611.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999792575836182,0.999876856803894
279,Forest/Forest_2307.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9947417974472046,0.9998352527618408
280,Forest/Forest_749.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.7287057638168335,0.8035892844200134
281,Forest/Forest_722.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99923837184906,0.9993358254432678
282,Forest/Forest_1913.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999991536140442,0.9998621940612792
283,Forest/Forest_1400.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.997876524925232,0.99992573261261
284,Forest/Forest_1311.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999244213104248,0.999951720237732
285,Forest/Forest_650.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9980752468109132,0.9999998807907104
286,Forest/Forest_981.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9938071370124816,0.9999516010284424
287,Forest/Forest_2979.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999874234199524,1.0
288,Forest/Forest_2323.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99994957447052,0.9999974966049194
289,Forest/Forest_1133.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999971389770508,0.999970316886902
290,Forest/Forest_301.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999995231628418,1.0
291,Forest/Forest_2540.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9946557283401488,0.9999992847442628
292,Forest/Forest_849.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999419331550598,0.998485028743744
293,Forest/Forest_2867.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999538779258728,0.9999998807907104
294,Forest/Forest_2969.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988470077514648,1.0
295,Forest/Forest_2476.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9999991655349731,0.9978848099708556
296,Forest/Forest_444.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9991804957389832,0.9881359338760376
297,Forest/Forest_900.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99999737739563,0.9956307411193848
298,Forest/Forest_954.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.997722327709198,0.5659933090209961
299,Forest/Forest_2654.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9796642065048218,0.999099850654602
300,Forest/Forest_1270.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999979853630066,0.9997404217720032
301,Forest/Forest_2389.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999393224716188,0.9982549548149108
302,Forest/Forest_2559.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999219179153442,0.610109269618988
303,Forest/Forest_98.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999247789382936,0.9999982118606568
304,Forest/Forest_726.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999977350234984,0.9999189376831056
305,Forest/Forest_193.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999961256980896,0.9696518182754515
306,Forest/Forest_1891.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999821186065674,1.0
307,Forest/Forest_2114.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999988079071044,1.0
308,Forest/Forest_633.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999996423721312,1.0
309,Forest/Forest_1511.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999945163726808,0.9994031190872192
310,Forest/Forest_284.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9962723255157472,0.9999951124191284
311,Forest/Forest_78.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9762486815452576,0.9999982118606568
312,Forest/Forest_2506.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988866448402404,0.9999300241470336
313,Forest/Forest_1253.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9948450326919556,0.9911553859710692
314,Forest/Forest_852.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9994661211967468,0.9545806050300598
315,Forest/Forest_897.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999996781349182,0.9999992847442628
316,Forest/Forest_2614.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999918937683104,0.9999998807907104
317,Forest/Forest_1771.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9775974154472352,0.9999997615814208
318,Forest/Forest_270.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998024106025696,0.9999994039535522
319,Forest/Forest_1098.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9977065324783324,0.8951175808906555
320,Forest/Forest_326.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999985694885254,0.9999891519546508
321,Forest/Forest_811.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999936819076538,0.9997556805610656
322,Forest/Forest_1661.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.99998676776886,0.9954288005828856
323,Forest/Forest_309.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988364577293396,0.999790370464325
324,Forest/Forest_481.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999897480010986,0.9997960925102234
325,Forest/Forest_1735.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9988353848457336,0.9492608904838562
326,Forest/Forest_377.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9978349804878236,0.9999921321868896
327,Forest/Forest_1418.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998018145561218,0.999345362186432
328,Forest/Forest_2344.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9869806170463562,0.9999984502792358
329,Forest/Forest_2447.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999855756759644,1.0
330,Forest/Forest_2031.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.99813312292099,0.975281298160553
331,Forest/Forest_2385.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999576807022096,0.999816596508026
332,Forest/Forest_22.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.98175448179245,0.9999159574508668
333,Forest/Forest_1892.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9992601275444032,0.9997548460960388
334,Forest/Forest_420.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999980926513672,0.9999969005584716
335,Forest/Forest_2809.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9975785613059998,0.9739992022514344
336,Forest/Forest_631.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999070167541504,0.9944608211517334
337,Forest/Forest_860.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999885559082032,1.0
338,Forest/Forest_2072.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999997854232788,0.99784255027771
339,Forest/Forest_2175.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999259889125824,0.9806919097900392
340,Forest/Forest_2467.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999995231628418,1.0
341,Forest/Forest_1653.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9955888986587524,0.997901201248169
342,Forest/Forest_2156.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999911785125732,0.9976769089698792
343,Forest/Forest_2765.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9880613088607788,0.6522179841995239
344,Forest/Forest_1739.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999667406082152,0.9999932050704956
345,Forest/Forest_861.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9999845027923584,0.9995189905166626
346,Forest/Forest_521.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9719964265823364,0.9999998807907104
347,Forest/Forest_2180.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9832227826118468,0.999997854232788
348,Forest/Forest_2105.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997923970222472,0.9999998807907104
349,Forest/Forest_150.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9991071820259094,0.954239308834076
350,Forest/Forest_49.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,HerbaceousVegetation,0.9979389309883118,0.5323514342308044
351,Forest/Forest_699.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.994178295135498,0.9999651908874512
352,Forest/Forest_2586.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9530587792396544,1.0
353,Forest/Forest_2232.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997648596763612,0.9999998807907104
354,Forest/Forest_2621.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999755084514618,0.9999943971633912
355,Forest/Forest_2212.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9944283962249756,0.9999929666519164
356,Forest/Forest_982.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999936819076538,1.0
357,Forest/Forest_585.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9982170462608336,0.9997287392616272
358,Forest/Forest_2222.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9607784748077391,0.9801695942878724
359,Forest/Forest_2457.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998288154602052,0.999297261238098
360,Forest/Forest_1022.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999922513961792,0.9999011754989624
361,Forest/Forest_2120.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999982118606568,0.9999440908432008
362,Forest/Forest_1498.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999959468841552,1.0
363,Forest/Forest_1393.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999653458595276,0.9994639754295348
364,Forest/Forest_2687.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9997161030769348,0.9316295981407166
365,Forest/Forest_1719.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.999929666519165,0.6478107571601868
366,Forest/Forest_571.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9998840093612672,0.9944403767585754
367,Forest/Forest_488.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999611377716064,0.9991022348403932
368,Forest/Forest_2826.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9974284768104552,0.9999710321426392
369,Forest/Forest_1908.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9808886647224426,0.9998291730880736
370,Forest/Forest_1926.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999271631240844,0.9999969005584716
371,Forest/Forest_233.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9921445250511168,0.9548977613449096
372,Forest/Forest_1282.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9991515874862672,0.9999974966049194
373,Forest/Forest_2784.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999752044677734,0.999914288520813
374,Forest/Forest_2102.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998891353607178,0.9998979568481444
375,Forest/Forest_2550.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9995421171188354,0.9931163191795348
376,Forest/Forest_2015.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999997615814209,0.9997231364250184
377,Forest/Forest_2600.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9986250400543212,0.9999970197677612
378,Forest/Forest_1614.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999980926513672,0.9981209635734558
379,Forest/Forest_1231.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9981209635734558,0.9998266100883484
380,Forest/Forest_1536.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998664855957032,0.9999988079071044
381,Forest/Forest_2816.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999988079071044,1.0
382,Forest/Forest_1989.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999361038208008,0.999998927116394
383,Forest/Forest_2108.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998175501823424,0.999997615814209
384,Forest/Forest_151.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9999991655349731,0.9770194888114928
385,Forest/Forest_943.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999977350234984,0.9999996423721312
386,Forest/Forest_2401.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999964237213136,1.0
387,Forest/Forest_825.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999529123306274,0.9999610185623168
388,Forest/Forest_1623.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9990419745445251,0.999991774559021
389,Forest/Forest_292.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9912886619567872,1.0
390,Forest/Forest_406.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999953508377076,0.9610445499420166
391,Forest/Forest_1894.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9970338344573976,0.9999988079071044
392,Forest/Forest_360.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999985694885254,0.9629971981048584
393,Forest/Forest_131.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998192191123962,0.9778133630752563
394,Forest/Forest_2428.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999576807022096,0.9999979734420776
395,Forest/Forest_2523.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999721050262452,0.9999996423721312
396,Forest/Forest_2074.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,HerbaceousVegetation,0.9719223380088806,0.9667938351631165
397,Forest/Forest_1043.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999790191650392,0.9999998807907104
398,Forest/Forest_2418.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9996331930160522,0.9998353719711304
399,Forest/Forest_2194.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9983530044555664,0.9999992847442628
400,Forest/Forest_502.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.7107039093971252,0.999996781349182
401,Forest/Forest_5.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997928738594056,0.9970687031745912
402,Forest/Forest_1341.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.986278235912323,0.9999181032180786
403,Forest/Forest_341.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9993754029273988,0.9999070167541504
404,Forest/Forest_2302.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9997615218162536,0.9999998807907104
405,Forest/Forest_1329.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999210834503174,0.9999996423721312
406,Forest/Forest_1095.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999914526939392,0.9950271248817444
407,Forest/Forest_138.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999655485153198,0.9999996423721312
408,Forest/Forest_2502.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999692678451538,0.999980330467224
409,Forest/Forest_2888.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999725878238678,0.9994650483131408
410,Forest/Forest_343.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9988213181495668,0.9999990463256836
411,Forest/Forest_351.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999247789382936,0.9289824962615968
412,Forest/Forest_2653.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.9995803236961364,0.9858067035675048
413,Forest/Forest_2588.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9986597299575806,0.9589070677757264
414,Forest/Forest_169.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998075366020204,0.9997439980506896
415,Forest/Forest_132.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999727010726928,0.9989990592002868
